Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
AFG,2017,2958232.0,2556129.099656715,0.5144241720271713,1092659.950426666,4019598.248886763,402103.0,14.0,2926938.0
AFG,2018,2991326.0,2501808.380902635,0.6564175714488504,848655.6187448367,4154961.143060435,489518.0,16.0,3306306.0
AFG,2019,,2447567.313277911,0.8745180234066102,539440.3419518666,4355694.284603956,,,3816254.0
AFG,2020,,2394360.81288412,1.187702316605712,170658.2846204462,4618063.341147795,,,4447405.0
AFG,2021,,2343293.159602468,1.611934643711303,-247284.4207529351,4933870.739957871,,,5181155.0
AFG,2022,,2295643.698282695,2.157616166340178,-701516.6738672694,5292804.070432659,,,5994321.0
AFG,2023,,2252840.781972693,2.827484514784755,-1178177.290235795,5683858.85418118,,,6862036.0
AGO,2017,16087.0,-18775.59405138678,0.3077216933050126,-170830.856745973,133279.6686431995,34863.0,217.0,304111.0
AGO,2018,17107.0,-26565.86221310173,0.3432865569565455,-187167.806072029,134036.0816458255,43673.0,255.0,321204.0
AGO,2019,,-30659.56698865609,0.3909151152005832,-202040.9450777952,140721.811100483,,,342763.0
AGO,2020,,-31154.5365609478,0.4521725775433365,-215475.4055957388,153166.3324738432,,,368642.0
AGO,2021,,-28244.17912850363,0.5282001746529168,-227459.0110326408,170970.6527756336,,,398430.0
AGO,2022,,-22204.22236934974,0.6195863306485954,-237965.4045216212,193556.9597829217,,,431522.0
AGO,2023,,-13377.10760936636,0.7262742298356379,-246977.0419187036,220222.8266999708,,,467200.0
BDI,2017,499718.0,368771.8642380538,0.4831841645666423,100430.6351469182,637113.0933291893,130946.0,26.0,536682.0
BDI,2018,441165.0,452744.3437825397,0.5515409264887922,166049.4681413906,739439.219423689,11579.0,3.0,573390.0
BDI,2019,,545560.454942987,0.6642086100623011,230942.6412214339,860178.26866454,,,629236.0
BDI,2020,,644268.7110597596,0.8369992579224516,291090.7501644916,997446.6719550276,,,706356.0
BDI,2021,,745711.4260086915,1.086609438133441,343302.3245499813,1148120.527467402,,,804818.0
BDI,2022,,846674.1677236739,1.429161290399369,385174.1940245954,1308174.141422752,,,923000.0
BDI,2023,,944031.8088911818,1.878536487762707,414928.0147507552,1473135.603031608,,,1058208.0
BFA,2017,8217.0,7990.603310253688,0.05704595314681801,7262.947487289226,8718.25913321815,226.0,3.0,1455.0
BFA,2018,16340.0,9880.126104324092,0.1251774825744071,8802.230513903633,10958.02169474455,6460.0,40.0,2156.0
BFA,2019,,11940.01011974204,0.2769678106770704,10336.66048319789,13543.35975628619,,,3207.0
BFA,2020,,14113.10811668122,0.5735630547576199,11805.80754765121,16420.40868571123,,,4615.0
BFA,2021,,16331.88375365249,1.097111932225693,13140.79371788347,19522.97378942151,,,6382.0
BFA,2022,,18522.2649075999,1.94770334934153,14270.44369648073,22774.08611871906,,,8504.0
BFA,2023,,20608.00022092847,3.235839428332716,15127.66568532474,26088.3347565322,,,10961.0
BGD,2017,84867.0,24734.36131560091,0.9998762655908402,-12385.43927262736,61854.16190382917,60133.0,71.0,74240.0
BGD,2018,79804.0,24738.24881310241,0.9998762695943146,-12381.55184943914,61858.04947564395,55066.0,69.0,74240.0
BGD,2019,,24743.30577801518,0.9998762792701209,-12376.49506413059,61863.10662016094,,,74240.0
BGD,2020,,24749.38716567508,0.9998762992484931,-12370.41404731317,61869.18837866333,,,74240.0
BGD,2021,,24756.29116955383,0.9998763359285805,-12363.51072429741,61876.09306340507,,,74240.0
BGD,2022,,24763.7714249819,0.9998763972957223,-12356.03160797826,61883.57445794206,,,74240.0
BGD,2023,,24771.55199145948,0.9998764923820475,-12348.25280651163,61891.3567894306,,,74240.0
CAF,2017,558495.0,666073.8180941533,0.04737273757820667,603087.7266687052,729059.9095196014,107579.0,19.0,125972.0
CAF,2018,608108.0,795731.2015777739,0.08382225523661808,711947.3948574775,879515.0082980702,187623.0,31.0,167568.0
CAF,2019,,934245.3969893107,0.1673016978140102,815878.410197814,1052612.383780807,,,236734.0
CAF,2020,,1077904.264019927,0.3325708458539926,911017.2648874084,1244791.263152446,,,333774.0
CAF,2021,,1222440.839530808,0.6264960702562368,993385.9359249934,1451495.743136622,,,458110.0
