Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
AFG,2017,2958232.0,2943732.461233468,0.5159475582259776,1478097.997133612,4409366.925333323,14500.0,0.0,2931269.0
AFG,2018,2991326.0,2990535.187085895,0.7286345911130492,1248817.425898552,4732252.948273238,791.0,0.0,3483436.0
AFG,2019,,3029460.892421266,1.06976347014503,919051.2139219767,5139870.570920554,,,4220819.0
AFG,2020,,3058642.733467507,1.571065160436131,501117.1483564717,5616168.318578543,,,5115051.0
AFG,2021,,3077432.527248321,2.25546432570669,13064.87507047411,6141800.179426167,,,6128735.0
AFG,2022,,3086298.726545312,3.131914627831324,-524704.2438054197,6697301.696896043,,,7222006.0
AFG,2023,,3086602.474035204,4.192126671886871,-1091124.811446462,7264329.759516871,,,8355455.0
AGO,2017,16087.0,39849.1564236792,0.1577534108543481,-69021.73480267802,148720.0476500364,23762.0,148.0,217742.0
AGO,2018,17107.0,81155.52736657287,0.3250411382143124,-75120.21265530292,237431.2673884487,64049.0,374.0,312551.0
AGO,2019,,128701.2707754943,0.6325850734333225,-89311.4671587903,346714.0087097788,,,436025.0
AGO,2020,,175231.4668368352,1.093991992158123,-111469.7066762487,461932.6403499191,,,573402.0
AGO,2021,,214925.3678667815,1.680094519160358,-140369.7636867069,570220.49942027,,,710590.0
AGO,2022,,244380.6950783239,2.324976148506236,-173576.3499272947,662337.7400839424,,,835914.0
AGO,2023,,262752.3475608086,2.949067939333268,-207969.9685646387,733474.6636862559,,,941445.0
BDI,2017,499718.0,283445.9084649159,0.6576003653567192,-29602.91883266857,596494.7357625004,216272.0,43.0,626098.0
BDI,2018,441165.0,322072.9493666627,0.7369845695575098,-9332.965858516283,653478.8645918416,119092.0,27.0,662812.0
BDI,2019,,359413.0149176292,0.8370160041080369,6231.520952266292,712594.5088829922,,,706363.0
BDI,2020,,393204.5234319413,0.9547587055758536,15999.14911501459,770409.897748868,,,754411.0
BDI,2021,,421745.998848009,1.085062337392519,19623.47191918996,823868.5257768282,,,804245.0
BDI,2022,,443970.9774794186,1.221305859095629,17348.94676553842,870593.0081932989,,,853244.0
BDI,2023,,459448.4239146212,1.356399137767525,9849.968211199215,909046.8796180433,,,899197.0
